,colonized_admission,infected_admission,colonized_transfer,infected_transfer,colonized_incidence,infected_incidence
511,0.0,0.0,0.0,0.0,0.0,0.0
512,2.0,0.0,0.0,0.0,0.0,0.0
513,1.0,0.0,0.0,0.0,0.0,0.0
514,1.0,0.0,0.0,0.0,0.0,0.0
515,4.0,0.0,0.0,0.0,0.0,0.0
516,0.0,0.0,0.0,0.0,1.0,0.0
517,2.0,0.0,0.0,0.0,1.0,0.0
518,0.0,0.0,0.0,0.0,1.0,0.0
519,1.0,0.0,0.0,0.0,0.0,0.0
520,2.0,0.0,0.0,0.0,2.0,0.0
521,1.0,0.0,0.0,0.0,1.0,0.0
522,1.0,0.0,0.0,0.0,0.0,0.0
523,1.0,0.0,0.0,0.0,0.0,0.0
524,0.0,0.0,0.0,0.0,0.0,0.0
525,2.0,0.0,0.0,0.0,0.0,0.0
526,0.0,0.0,0.0,0.0,1.0,0.0
527,1.0,0.0,0.0,0.0,0.0,0.0
528,1.0,0.0,0.0,0.0,0.0,0.0
